Offense,family_violence,occurred_date,location_type,Zip,Latitude,Longitude
BURGLARY OF VEHICLE,N,2019-03-03,DEPARTMENT / DISCOUNT STORE,78751,30.30046387,-97.71965158
CRIMINAL MISCHIEF,N,2019-11-18,PARKING /DROP LOT/ GARAGE,78745,30.21659943,-97.79730708
CRIMINAL MISCHIEF,N,2021-08-31,RESIDENCE / HOME,78749,30.23322022,-97.83668398
FAMILY DISTURBANCE,N,2020-04-02,RESIDENCE / HOME,78727,30.41860008,-97.72843771
FAMILY DISTURBANCE,N,2020-01-21,HOTEL / MOTEL / ETC.,78759,30.42798425,-97.75800809
FAMILY DISTURBANCE,N,2020-07-01,RESIDENCE / HOME,78741,30.2156655,-97.70354685
CRIMINAL MISCHIEF,N,2021-07-02,PARKING /DROP LOT/ GARAGE,78744,30.21431418,-97.74753209
BURGLARY OF VEHICLE,N,2019-02-08,PARKING /DROP LOT/ GARAGE,78751,30.30914842,-97.73366499
THEFT,N,2020-12-31,CONVENIENCE STORE,78741,30.23967702,-97.71823688
FAMILY DISTURBANCE,N,2020-07-19,RESIDENCE / HOME,78723,30.2988068,-97.69488518
FAMILY DISTURBANCE,N,2021-02-22,RESIDENCE / HOME,78758,30.37306027,-97.71738905
CRIMINAL MISCHIEF,N,2019-03-28,OTHER / UNKNOWN,78745,30.20264034,-97.77030358
THEFT,N,2021-06-30,COMMERCIAL / OFFICE BUILDING,78729,30.44258802,-97.77420642
BURGLARY OF VEHICLE,N,2019-03-21,BAR / NIGHTCLUB,78723,30.31990868,-97.70430715
FAMILY DISTURBANCE,N,2019-08-17,HOTEL / MOTEL / ETC.,78753,30.3564747,-97.69051681
THEFT,N,2019-05-15,RESIDENCE / HOME,78741,30.22478961,-97.69704967
BURGLARY OF VEHICLE,N,2019-09-09,RESTAURANT,78704,30.24128082,-97.7520176
BURGLARY OF VEHICLE,N,2021-04-14,PARKING /DROP LOT/ GARAGE,78741,30.23509316,-97.71545645
CRIMINAL MISCHIEF,N,2020-05-05,SPECIALTY  STORE,78703,30.2772745,-97.75079528
BURGLARY OF VEHICLE,N,2019-01-18,OTHER / UNKNOWN,78753,30.41275054,-97.66117882
BURGLARY OF VEHICLE,N,2019-12-05,COMMERCIAL / OFFICE BUILDING,78751,30.31381829,-97.73202707
BURGLARY OF VEHICLE,N,2021-09-28,PARKING /DROP LOT/ GARAGE,78704,30.24989044,-97.7379151
CRIMINAL MISCHIEF,N,2019-02-28,PARKING /DROP LOT/ GARAGE,78701,30.27680508,-97.73682072
THEFT,N,2021-11-10,AIR / BUS / TRAIN TERMINAL,78753,30.33915243,-97.69116575
FAMILY DISTURBANCE,N,2019-01-11,RESIDENCE / HOME,78744,30.16552618,-97.78510052
THEFT,N,2019-11-16,RESIDENCE / HOME,78744,30.19754354,-97.76081673
THEFT,N,2021-12-21,DEPARTMENT / DISCOUNT STORE,78758,30.40249501,-97.72050896
FAMILY DISTURBANCE,N,2020-11-13,RESIDENCE / HOME,78759,30.38677337,-97.74653965
BURGLARY OF VEHICLE,N,2019-06-21,PARK / PLAYGROUND,78744,30.16358776,-97.77878034
FAMILY DISTURBANCE,N,2020-05-28,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78721,30.27012652,-97.69290915
CRIMINAL MISCHIEF,N,2021-05-06,OTHER / UNKNOWN,78703,30.29197578,-97.76040422
BURGLARY OF VEHICLE,N,2020-06-09,RESIDENCE / HOME,78748,30.18427105,-97.83204151
CRIMINAL MISCHIEF,N,2020-07-26,RESIDENCE / HOME,78724,30.2943082,-97.62687156
BURGLARY OF VEHICLE,N,2019-05-06,PARKING /DROP LOT/ GARAGE,78746,30.25849493,-97.80204559
CRIMINAL MISCHIEF,N,2019-11-18,RESTAURANT,78702,30.26046527,-97.733699
FAMILY DISTURBANCE,N,2021-09-14,RESIDENCE / HOME,78744,30.18782842,-97.76131283
THEFT,N,2021-01-02,RESIDENCE / HOME,78741,30.24518463,-97.73032488
BURGLARY OF VEHICLE,N,2021-09-20,PARKING /DROP LOT/ GARAGE,78741,30.23653697,-97.71329824
BURGLARY OF VEHICLE,N,2020-09-16,RESIDENCE / HOME,78758,30.4015681,-97.72226333
THEFT,N,2019-07-30,OTHER / UNKNOWN,78721,30.25139501,-97.69043394
BURGLARY OF VEHICLE,N,2020-08-06,RESIDENCE / HOME,78723,30.32238174,-97.68082997
CRIMINAL MISCHIEF,N,2020-02-19,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.2678836,-97.74650601
BURGLARY OF VEHICLE,N,2020-07-16,HOTEL / MOTEL / ETC.,78744,30.20809475,-97.75526029
BURGLARY OF VEHICLE,N,2019-03-18,RESIDENCE / HOME,78717,30.50149442,-97.76426875
FAMILY DISTURBANCE,N,2021-03-14,RESIDENCE / HOME,78742,30.23937836,-97.68283109
FAMILY DISTURBANCE,N,2021-01-14,RESIDENCE / HOME,78704,30.24194037,-97.75773026
FAMILY DISTURBANCE,N,2019-02-06,RESIDENCE / HOME,78754,30.3805642,-97.65216055
THEFT,N,2021-04-07,RESIDENCE / HOME,78758,30.37148551,-97.71717801
THEFT,N,2019-10-15,RESIDENCE / HOME,78717,30.49575316,-97.78117207
THEFT,N,2021-06-26,PARKING /DROP LOT/ GARAGE,78724,30.28987254,-97.62925249
